country,country_code,2012,2013,2014,2015,2016,2017
Portugal,PRT,80.61999999999999,74.43916666666667,76.864,87.5625,91.33749999999999,93.14
Puerto Rico,PRI,123.70714285714288,94.94833333333332,115.06,82.455,124.97285714285714,300.0
Qatar,QAT,107.80833333333332,108.5225,108.63199999999999,108.70333333333332,134.23583333333332,108.515
Romania,ROU,106.51000000000003,99.3675,98.00599999999999,100.50999999999999,99.2475,102.975
Rwanda,RWA,104.47916666666669,101.78416666666668,97.91399999999997,99.17416666666666,103.60499999999998,108.66
Sao Tome and Principe,STP,133.6342857142857,152.49222222222224,168.39000000000001,187.15090909090904,188.84555555555556,219.095
Saudi Arabia,SAU,107.39166666666665,108.91416666666669,103.374,106.37416666666667,106.45833333333333,120.035
Senegal,SEN,129.1475,122.68916666666667,112.99499999999998,123.83833333333332,127.55833333333332,81.66499999999999
Sierra Leone,SLE,129.99499999999998,148.61916666666667,119.876,143.63916666666668,120.4175,97.56
Slovenia,SVN,100.42666666666666,95.55916666666666,96.443,97.61666666666666,91.59999999999998,95.08
Somalia,SOM,106.75833333333333,107.88833333333336,102.284,100.045,106.51583333333332,112.215
South Africa,ZAF,82.33666666666666,78.58916666666666,77.907,78.72166666666666,81.28250000000001,85.82
South Sudan,SSD,103.13333333333333,99.07333333333332,97.35499999999999,98.76916666666666,99.64916666666669,110.795
Spain,ESP,79.51416666666667,78.93333333333332,80.864,85.54333333333334,90.16166666666668,79.83500000000001
Sri Lanka,LKA,151.89000000000001,116.81666666666665,105.606,105.33166666666666,111.06285714285715,
Sudan,SDN,97.63249999999998,93.15750000000001,93.16,94.05916666666666,92.97416666666665,106.245
Suriname,SUR,119.74222222222221,129.825,155.1925,175.41727272727272,100.4618181818182,64.03
Sweden,SWE,82.65583333333332,80.61999999999999,79.197,81.10416666666667,79.31916666666666,84.675
Switzerland,CHE,93.71583333333332,87.46499999999999,86.92,92.58833333333332,87.02416666666666,93.83
Tajikistan,TJK,156.07555555555555,148.87888888888892,166.33750000000003,155.66333333333333,162.15555555555557,299.29
Togo,TGO,158.72416666666666,156.53500000000003,148.51500000000001,147.40333333333334,164.4466666666667,224.16
Trinidad and Tobago,TTO,176.46375,114.93625,230.14714285714285,159.70142857142855,110.30222222222224,43.85
Tunisia,TUN,117.08749999999999,115.2025,115.835,115.95833333333333,115.30416666666666,156.79
Turkey,TUR,105.52833333333332,101.86583333333333,97.638,100.8575,101.22666666666667,116.91
Turkmenistan,TKM,133.11833333333334,131.05083333333334,121.101,133.19833333333332,127.7325,146.965
Uganda,UGA,103.71083333333335,100.66999999999997,99.707,99.59583333333335,102.5425,105.73
Ukraine,UKR,104.13083333333333,99.52916666666668,97.06300000000002,98.415,99.18583333333333,109.19999999999999
United Arab Emirates,ARE,126.33249999999998,124.87166666666668,107.59200000000001,117.69333333333334,121.63083333333333,124.13
United Kingdom,GBR,63.99,60.94499999999999,63.997,65.53833333333333,64.29333333333334,69.61
United Republic of Tanzania,TZA,96.32,93.35666666666667,92.30600000000001,91.55833333333334,92.90833333333335,104.26
United States of America,USA,96.5975,62.5,66.94833333333334,69.54375,63.74375,63.61
Uruguay,URY,116.34083333333332,114.39272727272729,141.48600000000002,108.53818181818183,84.22916666666667,48.64
Uzbekistan,UZB,140.4608333333333,148.17999999999998,130.073,143.7475,128.6233333333333,142.54
Zambia,ZMB,87.95666666666665,83.825,82.022,85.09833333333334,86.825,94.995
Zimbabwe,ZWE,85.83166666666666,82.03916666666667,81.899,82.5525,86.32,91.43
